Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-02-04,9207.881787824,9274.0742501061,9349.2470579603,9072.5882144438
BTC,2020-02-05,9558.3778959613,9207.8815422046,9560.9789966247,9124.5192726955
BTC,2020-02-06,9765.9079603997,9558.3803325181,9856.4477732891,9527.1516688188
BTC,2020-02-07,9769.3948102986,9762.3800098762,9872.6160693597,9653.132962425
BTC,2020-02-08,9865.1539411447,9769.3948222974,9889.6381565903,9660.3091570566
BTC,2020-02-09,10096.9670411444,9865.1543389208,10175.9070114234,9823.32825935
BTC,2020-02-10,9850.2516579696,10096.9671398767,10197.1992831582,9752.1957570763
BTC,2020-02-11,10305.4712830134,9850.2502491679,10351.4559262839,9711.3609146837
